time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,estrus
1,21.554166666666667,38.44583333333333,13.3,31.997222222222224,45.97164156708334,51.058916593333336,30.702511034083333,45.99305555555556,37.25560819611111,37.17916666666667,26.070833333333333,29.223307394444443,21.656944444444445,31.601388888888888,44.71111111111111,28.173090612916667,45.986111111111114,35.890277777777776,38.94869215611111,54.291666666666664,36.47083333333333,33.75972222222222,41.05833333333333,41.43677696277778,40.834722222222226,31.658333333333335,False
2,8.647222222222222,19.604166666666668,13.209852397111112,8.784722222222221,9.737596445819444,6.459722222222222,6.310577623722222,6.227777777777778,23.134722222222223,5.838888888888889,11.581944444444444,7.558333333333334,8.11111111111111,13.684722222222222,9.227777777777778,16.2125,6.559722222222222,29.678098394166668,8.8,12.606523325555557,8.49906452486111,8.731793924722222,8.61818999263889,13.022222222222222,11.66479349347222,24.716666666666665,False
3,24.908333333333335,54.58243002277778,29.49698338988889,36.61944444444445,68.43173934111111,57.147513852222225,40.41725532447222,46.30012150625,43.84722222222222,46.36944072222222,30.886111111111113,34.02876171111111,26.5375,35.59305555555556,37.516666666666666,33.411979501805554,44.931724349722224,34.38418808597223,34.91111111111111,47.90096777,28.78611111111111,27.999849480277778,43.39735665930555,39.09027777777778,42.31896016013889,25.238888888888887,True
4,8.181944444444444,7.7027777777777775,10.971592865222222,14.8960199645,10.458845620694444,7.926388888888889,6.299557545083333,19.958333333333332,15.741666666666667,9.504166666666666,10.245833333333334,10.11239876111111,15.140277777777778,7.2347222222222225,18.221662027222223,9.664757279583334,7.825,22.177777777777777,6.5625,8.77361111111111,21.863888888888887,8.918055555555556,7.363888888888889,13.970276759027778,12.706460160138889,38.03055555555556,True
5,22.32638888888889,33.92671260777778,22.344574619333333,33.62222222222222,43.935018168611116,43.04667359277778,27.891399922972223,44.208333333333336,31.51116375166667,22.877081472222223,24.288933884027777,26.859317266666665,29.884722222222223,39.34722222222222,65.94310528236112,30.07031283513889,46.515277777777776,36.44113253041667,40.61666666666667,41.205555555555556,34.58888888888889,25.917905035833332,37.480555555555554,36.50049938875,42.28472222222222,36.72638888888889,False
6,7.356944444444444,10.631944444444445,9.695833333333333,9.9710199645,21.65190117625,6.218055555555556,6.2652777777777775,8.634722222222223,19.28611111111111,9.0625,10.152777777777779,6.5472222222222225,8.345833333333333,8.933333333333334,27.68888888888889,9.980555555555556,9.786111111111111,27.334188085972226,7.129166666666666,8.32638888888889,10.959722222222222,15.583182813611112,13.008333333333333,22.366666666666667,15.686531431388888,21.24761624875,False
7,21.11111111111111,28.47361111111111,20.750889706777777,28.369444444444444,29.556944444444444,47.09170129722222,29.979166666666668,42.230555555555554,31.073611111111113,29.74929997222222,25.961156106249998,24.38739876111111,30.21527777777778,38.25138888888889,32.477777777777774,30.164757279583334,43.108333333333334,29.544444444444444,38.44027777777778,48.888888888888886,27.916666666666668,30.103865627222223,40.62777777777778,58.12477635152778,31.397222222222222,28.85,False
8,7.9527777777777775,17.04861111111111,9.865277777777777,10.98611111111111,10.281944444444445,6.898611111111111,11.3125,8.004166666666666,17.508333333333333,20.09861111111111,8.834722222222222,6.25,8.843055555555555,7.636111111111111,19.004166666666666,9.766666666666667,10.052557683055555,22.468055555555555,8.840277777777779,8.354166666666666,10.488888888888889,8.352627258055556,7.851388888888889,13.843222018472224,8.436111111111112,20.6375,False
9,26.444444444444443,32.11388888888889,22.079296841555557,31.15027994675,47.38333333333333,44.620027704444446,26.94417770075,44.32361111111111,42.769497085000005,30.877081472222223,28.29726721736111,34.115856755555555,23.293055555555554,33.05416666666667,36.41062384013889,31.38281283513889,48.72222222222222,31.261111111111113,41.32361111111111,40.352777777777774,31.842120080416667,30.3625,56.221236644583335,36.18433211083333,36.20923793791667,25.830555555555556,False
10,11.484722222222222,16.28611111111111,20.733224675888888,11.011111111111111,8.054166666666667,9.615277777777777,5.343910957055555,7.705555555555556,16.690277777777776,9.930555555555555,9.881944444444445,11.01388888888889,7.825,9.96111111111111,14.455555555555556,9.551388888888889,7.506944444444445,18.480021419305555,5.905555555555556,7.2027777777777775,9.655555555555555,7.469444444444444,8.518189992638888,12.30849979625,8.23611111111111,20.104166666666668,False
